crop,season,year,count
Pigeon pea (red gram/arhar/tur),Rabi,2017,11
Maize (Makka),Rabi,2016,13
Pigeon pea (red gram/arhar/tur),Rabi,2013,19
Other Named Crops,Kharif,2016,35
Pomegranate,Kharif,2016,1
Maize (Makka),Rabi,2015,7
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2013,53
Onion,Kharif,2017,20
Groundnut (pea nut/mung phalli),Rabi,2016,23
Pomegranate,Rabi,2016,20
Sorghum (Jowar/Great Millet),Rabi,2016,13
Watermelon,Rabi,2013,43
Wheat,Rabi,2018,18
Pigeon pea (red gram/arhar/tur),Rabi,2016,69
Cotton (Kapas),Kharif,2015,47
Turmeric,Kharif,2018,7
Other Named Crops,Rabi,2010,18
Pomegranate,Kharif,2013,9
Cotton (Kapas),Rabi,2017,4
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2013,6
Mango,Kharif,2013,3
Soybean (bhat),Rabi,2016,4
Maize (Makka),Kharif,2015,1
Sugarcane (Noble Cane),Rabi,2016,37
Bhindi(Okra/Ladysfinger),Rabi,2016,13
Onion,Rabi,2016,66
Soybean (bhat),Rabi,2022,14
Groundnut (pea nut/mung phalli),Rabi,2020,47
Sugarcane (Noble Cane),Kharif,2018,24
Watermelon,Rabi,2020,12
Pomegranate,Rabi,2021,8
Bhindi(Okra/Ladysfinger),Rabi,2020,4
Turmeric,Rabi,2020,13
Brinjal,Rabi,2021,4
Mango,Rabi,2021,12
Mango,Rabi,2020,8
Turmeric,Rabi,2022,7
Wheat,Zaid,2017,1
Sugarcane (Noble Cane),Zaid,2017,15
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2020,4
Pigeon pea (red gram/arhar/tur),Kharif,2020,6
Sorghum (Jowar/Great Millet),Kharif,2020,2
Wheat,Kharif,2018,2
Onion,Kharif,2021,9
Pigeon pea (red gram/arhar/tur),Kharif,2021,5
Other Named Crops,Kharif,2020,14
Groundnut (pea nut/mung phalli),Zaid,2017,4
Soybean (bhat),Kharif,2015,21
Onion,Kharif,2015,19
Soybean (bhat),Kharif,2018,9
Pomegranate,Zaid,2021,5
Sugarcane (Noble Cane),Zaid,2021,4
Pomegranate,Rabi,2022,5
Groundnut (pea nut/mung phalli),Kharif,2016,1
Groundnut (pea nut/mung phalli),Rabi,2023,8
Groundnut (pea nut/mung phalli),Kharif,2013,8
Other Named Crops,Rabi,2018,18
Sugarcane (Noble Cane),Kharif,2017,5
Other Named Crops,Kharif,2014,29
Other Named Crops,Zaid,2016,17
Other Named Crops,Zaid,2010,4
Sugarcane (Noble Cane),Zaid,2016,10
Groundnut (pea nut/mung phalli),Rabi,2012,4
Sugarcane (Noble Cane),Rabi,2019,30
Turmeric,Kharif,2016,7
Cotton (Kapas),Kharif,2010,2
Pigeon pea (red gram/arhar/tur),Kharif,2017,3
Brinjal,Rabi,2018,3
Other Named Crops,Kharif,2017,9
Cotton (Kapas),Rabi,2016,19
Turmeric,Kharif,2015,5
Tomato,Kharif,2015,4
Groundnut (pea nut/mung phalli),Rabi,2019,11
Mango,Rabi,2019,11
Turmeric,Rabi,2019,20
Soybean (bhat),Rabi,2012,1
Sugarcane (Noble Cane),Zaid,2023,9
Bhindi(Okra/Ladysfinger),Kharif,2015,6
Pigeon pea (red gram/arhar/tur),Kharif,2013,2
Cotton (Kapas),Rabi,2019,13
Wheat,Zaid,2013,3
Brinjal,Rabi,2015,6
Watermelon,Rabi,2022,6
Pomegranate,Rabi,2020,11
Other Named Crops,Rabi,2011,11
Tomato,Rabi,2016,2
Chillies,Rabi,2016,4
Soybean (bhat),Rabi,2013,5
Other Named Crops,Zaid,2017,9
Cotton (Kapas),Zaid,2014,8
Pomegranate,Zaid,2017,7
Bhindi(Okra/Ladysfinger),Zaid,2017,1
Wheat,Rabi,2011,10
Bhindi(Okra/Ladysfinger),Kharif,2017,7
Soybean (bhat),Kharif,2024,925
Pomegranate,Kharif,2024,8
Other Named Crops,Kharif,2024,389
Maize (Makka),Kharif,2023,2
Pigeon pea (red gram/arhar/tur),Kharif,2023,14
Onion,Zaid,2022,5
Mango,Rabi,2022,12
Sugarcane (Noble Cane),Kharif,2024,102
Wheat,Kharif,2023,3
Onion,Zaid,2014,8
Tomato,Rabi,2013,12
Wheat,Zaid,2014,6
Brinjal,Rabi,2013,12
Maize (Makka),Kharif,2013,4
Wheat,Kharif,2013,2
Wheat,Kharif,2014,1
Brinjal,Zaid,2019,4
Pomegranate,Zaid,2019,13
Other Named Crops,Zaid,2015,48
Chillies,Zaid,2019,10
Maize (Makka),Kharif,2016,3
Sugarcane (Noble Cane),Zaid,2024,12
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2019,3
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2023,7
Mango,Kharif,2015,2
Bhindi(Okra/Ladysfinger),Zaid,2019,4
Watermelon,Rabi,2019,11
Bhindi(Okra/Ladysfinger),Rabi,2019,5
Pomegranate,Rabi,2023,2
Groundnut (pea nut/mung phalli),Zaid,2021,12
Cotton (Kapas),Kharif,2017,17
Turmeric,Kharif,2021,2
Mango,Rabi,2016,7
Other Named Crops,Zaid,2011,4
Brinjal,Rabi,2014,4
Turmeric,Rabi,2016,9
Sugarcane (Noble Cane),Rabi,2017,13
Groundnut (pea nut/mung phalli),Kharif,2018,8
Onion,Rabi,2014,20
Pigeon pea (red gram/arhar/tur),Kharif,2010,2
Maize (Makka),Rabi,2019,4
Cotton (Kapas),Kharif,2024,1679
Groundnut (pea nut/mung phalli),Kharif,2024,18
Maize (Makka),Kharif,2024,214
Onion,Kharif,2024,343
Chillies,Kharif,2024,21
Pigeon pea (red gram/arhar/tur),Kharif,2024,227
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2024,39
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2013,2
Other Named Crops,Rabi,2009,10
Sorghum (Jowar/Great Millet),Kharif,2024,28
Brinjal,Kharif,2024,4
Turmeric,Kharif,2024,46
Pigeon pea (red gram/arhar/tur),Rabi,2024,350
Turmeric,Rabi,2024,17
Groundnut (pea nut/mung phalli),Rabi,2025,25
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2025,281
Other Named Crops,Rabi,2025,109
Onion,Rabi,2025,96
Turmeric,Rabi,2025,13
Chillies,Rabi,2025,3
Wheat,Rabi,2025,169
Maize (Makka),Rabi,2025,46
Sorghum (Jowar/Great Millet),Rabi,2025,34
Pigeon pea (red gram/arhar/tur),Rabi,2025,9
Soybean (bhat),Rabi,2025,3
Brinjal,Rabi,2024,3
Watermelon,Rabi,2025,10
Mango,Rabi,2025,15
Sugarcane (Noble Cane),Rabi,2025,60
Bhindi(Okra/Ladysfinger),Rabi,2024,3
Tomato,Rabi,2024,5
Tomato,Kharif,2024,15
Watermelon,Kharif,2024,1
Mango,Kharif,2024,2
Bhindi(Okra/Ladysfinger),Kharif,2024,5
Sorghum (Jowar/Great Millet),Kharif,2023,5
Wheat,Rabi,2009,23
Groundnut (pea nut/mung phalli),Kharif,2019,1
Onion,Kharif,2019,17
Sugarcane (Noble Cane),Rabi,2018,8
Cotton (Kapas),Rabi,2025,1
Tomato,Rabi,2025,3
Other Named Crops,Zaid,2025,117
Onion,Zaid,2025,25
Wheat,Zaid,2025,8
Sugarcane (Noble Cane),Zaid,2025,121
Tomato,Zaid,2025,6
Cotton (Kapas),Zaid,2025,8
Watermelon,Zaid,2025,5
Groundnut (pea nut/mung phalli),Zaid,2025,20
Mango,Zaid,2025,4
Turmeric,Zaid,2025,4
Sorghum (Jowar/Great Millet),Zaid,2025,14
Maize (Makka),Zaid,2025,21
Bhindi(Okra/Ladysfinger),Zaid,2025,6
Chillies,Zaid,2025,6
Brinjal,Zaid,2025,4
Soybean (bhat),Kharif,2025,2224
Cotton (Kapas),Kharif,2025,1615
Sugarcane (Noble Cane),Kharif,2025,70
Maize (Makka),Kharif,2025,343
Other Named Crops,Kharif,2025,325
Pigeon pea (red gram/arhar/tur),Kharif,2025,107
Turmeric,Kharif,2025,86
Onion,Kharif,2025,39
Bhindi(Okra/Ladysfinger),Kharif,2025,4
Tomato,Kharif,2025,7
Groundnut (pea nut/mung phalli),Kharif,2025,5
Pomegranate,Rabi,2019,17
Watermelon,Rabi,2016,5
Chillies,Kharif,2012,1
Chillies,Rabi,2020,2
Turmeric,Kharif,2022,4
