district,concern,count
NANDURBAR,Cultural Practices & Mechanization,666
HINGOLI,Animal Husbandry,230
DHULE,Animal Husbandry,183
SINDHUDURG,Market & Price Information,67
JALGAON,Animal Husbandry,380
PARBHANI,Animal Husbandry,321
RAIGARH,Cultural Practices & Mechanization,271
PALGHAR,Seeds & Varieties,89
Mumbai Suburban,"Govt Schemes, Insurance & Policy",103
Mumbai Suburban,Nutrient & Soil Management,28
RATNAGIRI,Seeds & Varieties,191
DHULE,Other Advisory,405
WARDHA,Other Advisory,294
DHULE,Water Management/Irrigation,375
SANGLI,Water Management/Irrigation,542
CHANDRAPUR,Water Management/Irrigation,400
BHANDARA,Other Advisory,205
NANDURBAR,Other Advisory,93
AMRAVATI,Animal Husbandry,193
GONDIYA,Animal Husbandry,39
BHANDARA,Water Management/Irrigation,197
PALGHAR,Other Advisory,31
OSMANABAD,Animal Husbandry,294
KOLHAPUR,Animal Husbandry,223
GADCHIROLI,Cultural Practices & Mechanization,386
GADCHIROLI,Other Advisory,74
9999,Weather & Climate Advisory,291
Mumbai Suburban,Unspecified,43
THANE,Other Advisory,121
Mumbai Suburban,Weather & Climate Advisory,70
9999,Cultural Practices & Mechanization,51
Mumbai Suburban,"Pest, Disease & Weed Mgmt",45
AKOLA,Animal Husbandry,200
RATNAGIRI,Animal Husbandry,32
PALGHAR,Water Management/Irrigation,9
GADCHIROLI,Water Management/Irrigation,77
9999,Other Advisory,18
BHANDARA,Animal Husbandry,74
9999,Nutrient & Soil Management,148
GONDIYA,Other Advisory,140
9999,Water Management/Irrigation,10
9999,"Govt Schemes, Insurance & Policy",73
9999,Seeds & Varieties,85
GONDIYA,Water Management/Irrigation,93
0,Unspecified,43
RATNAGIRI,Other Advisory,84
RAIGARH,Animal Husbandry,46
SINDHUDURG,Other Advisory,71
NANDURBAR,Animal Husbandry,19
Mumbai Suburban,Cultural Practices & Mechanization,25
GADCHIROLI,Animal Husbandry,27
0,Other Advisory,28
NANDURBAR,Water Management/Irrigation,89
null,Weather & Climate Advisory,29
SINDHUDURG,Animal Husbandry,25
RATNAGIRI,Water Management/Irrigation,17
Mumbai Suburban,Market & Price Information,8
Mumbai Suburban,Seeds & Varieties,11
0,Animal Husbandry,14
PALGHAR,Unspecified,14
SINDHUDURG,Water Management/Irrigation,14
PALGHAR,Market & Price Information,42
MUMBAI,Water Management/Irrigation,20
RAIGARH,Water Management/Irrigation,25
null,"Govt Schemes, Insurance & Policy",5
MUMBAI,Animal Husbandry,29
PALGHAR,Animal Husbandry,3
0,Water Management/Irrigation,11
9999,Animal Husbandry,6
Mumbai Suburban,Other Advisory,8
Mumbai Suburban,Water Management/Irrigation,4
null,Nutrient & Soil Management,2
null,Seeds & Varieties,1
Mumbai Suburban,Animal Husbandry,2
null,"Pest, Disease & Weed Mgmt",9
null,Animal Husbandry,1
null,Unspecified,3
null,Market & Price Information,2
BHAVNAGAR,"Govt Schemes, Insurance & Policy",1
