district,block,count
CHANDRAPUR,KORPANA,4074
CHANDRAPUR,BALLARPUR,2121
SATARA,PATAN,3871
SOLAPUR,SOUTH  SOLAPUR,13874
THANE,TALASARI,95
WARDHA,DEOLI,11488
WARDHA,SELOO,3927
NAGPUR,KAMPTEE,2743
CHANDRAPUR,POMBHURNA,1578
0,0,7857
THANE,PALGHAR,749
GADCHIROLI,DESAIGANJ (WADSA),633
BEED,DHARUR,11156
LATUR,SHIRUR ANANTPAL,5160
CHANDRAPUR,RAJURA,4168
THANE,AMBERNATH,842
MUMBAI,MUMBAI,3589
GONDIYA,0,3479
GADCHIROLI,KURKHEDA,718
NANDURBAR,NAVAPUR,764
NASIK,TRIMBAK,2709
RATNAGIRI,LANJA,530
CHANDRAPUR,MUL,1730
THANE,BHIWANDI,1797
CHANDRAPUR,0,2466
YEVATMAL,0,10569
GADCHIROLI,BHAMARAGAD,302
HINGOLI,0,6739
NASIK,PETH,1027
NASIK,SURGANA,2990
PUNE,PUNE CITY,2804
RAIGARH,POLADPUR,93
SINDHUDURG,DEOGAD,675
RAIGARH,ALIBAG,841
RATNAGIRI,RATNAGIRI,988
RAIGARH,PEN,482
THANE,MOKHADA,222
PALGHAR,WADA,184
SATARA,JAWALI,2568
RAIGARH,MHASALA,137
GONDIYA,GOREGAON,1544
BULDANA,0,42893
RATNAGIRI,MANDANGAD,527
NANDURBAR,AKARANI,516
SATARA,MAHABALESHWAR,522
THANE,DAHANU,524
SINDHUDURG,VAIBHAVAWADI,261
JALGAON,0,12374
AMRAVATI,CHIKHALDARA,1131
AMRAVATI,0,10820
RATNAGIRI,SANGMESHWAR,476
BEED,0,35941
RAIGARH,PANVEL,418
BHANDARA,0,2311
RATNAGIRI,KHED,469
SOLAPUR,0,12493
RAIGARH,KHALAPUR,379
GADCHIROLI,MULCHERA,689
RAIGARH,TALA,97
RAIGARH,SUDHAGAD,178
PALGHAR,VASAI,187
GADCHIROLI,AHERI,597
PALGHAR,VIKRAMGAD,147
RAIGARH,MURUD,126
RATNAGIRI,CHIPALUN,748
