district,year,month,count
PALGHAR,2020,12,21
MUMBAI,2020,12,40
AKOLA,2022,5,263
YEVATMAL,2022,5,597
SATARA,2022,5,184
OSMANABAD,2022,5,255
NANDURBAR,2020,12,53
MUMBAI,2023,6,5
RATNAGIRI,2023,6,17
MUMBAI,2019,6,25
PALGHAR,2023,6,18
LATUR,2022,5,290
PUNE,2022,5,263
NANDED,2022,5,593
WASHIM,2022,5,374
NASIK,2022,5,380
NAGPUR,2022,5,147
JALGAON,2022,5,254
RAIGARH,2019,6,30
THANE,2023,8,15
GADCHIROLI,2015,11,137
NAGPUR,2022,3,251
RATNAGIRI,2022,3,44
CHANDRAPUR,2022,3,128
LATUR,2022,3,537
OSMANABAD,2022,3,464
PALGHAR,2015,11,10
MUMBAI,2022,3,37
PALGHAR,2023,8,5
RAIGARH,2023,8,4
SOLAPUR,2017,6,3604
PARBHANI,2017,6,3584
NASIK,2017,6,3065
BULDANA,2017,6,5877
RAIGARH,2017,6,18
WARDHA,2017,6,1108
AURANGABAD,2017,6,3932
AMRAVATI,2017,6,2590
PUNE,2017,6,1198
JALNA,2017,6,3505
NANDED,2017,6,4968
JALGAON,2017,6,3468
LATUR,2017,6,1835
0,2017,6,239
OSMANABAD,2017,6,1891
AHMADNAGAR,2017,6,4331
BEED,2017,6,3031
THANE,2017,6,60
KOLHAPUR,2017,6,924
HINGOLI,2017,6,2486
SANGLI,2017,6,1026
YEVATMAL,2017,6,3823
WASHIM,2017,6,3999
CHANDRAPUR,2017,6,991
NAGPUR,2017,6,1283
BHANDARA,2017,6,359
DHULE,2017,6,1103
AKOLA,2017,6,3020
GADCHIROLI,2017,6,124
GONDIYA,2017,6,197
CHANDRAPUR,2018,3,252
0,2015,11,6
SATARA,2017,6,756
NANDURBAR,2017,6,169
0,2017,12,161
SOLAPUR,2013,9,1539
AMRAVATI,2013,9,1048
BHANDARA,2013,9,249
KOLHAPUR,2017,12,528
NAGPUR,2013,9,487
GADCHIROLI,2013,9,43
DHULE,2013,9,405
GONDIYA,2013,9,104
WASHIM,2013,9,768
MUMBAI,2017,6,30
THANE,2013,9,31
DHULE,2018,3,428
NANDURBAR,2013,9,99
SINDHUDURG,2013,9,9
NASIK,2011,10,120
HINGOLI,2011,10,54
AURANGABAD,2011,10,141
BEED,2011,10,124
WARDHA,2011,10,23
JALNA,2011,10,89
BULDANA,2011,10,126
NANDURBAR,2011,10,5
CHANDRAPUR,2011,10,25
JALGAON,2011,10,92
WASHIM,2011,10,51
